feature,row_count,ticker_count,date_count,numeric_count,missing_fraction
trans_pacific_partnership_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
trans_pacific_partnership_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
treasury_security_wiki_views,3943,0,3943,3943,0.15277180919639022
treasury_security_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
treasury_security_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
unemployment_wiki_views,3943,0,3943,3943,0.15277180919639022
unemployment_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
unemployment_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
uranium_wiki_views,3943,0,3943,3943,0.15277180919639022
uranium_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
uranium_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
wellington_wiki_views,3943,0,3943,3943,0.15277180919639022
wellington_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
wellington_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
wine_wiki_views,3943,0,3943,3943,0.15277180919639022
wine_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
wine_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
wool_wiki_views,3943,0,3943,3943,0.15277180919639022
wool_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
wool_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
yield_curve_wiki_views,3943,0,3943,3943,0.15277180919639022
yield_curve_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
yield_curve_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
oil_price_wiki_views,3942,0,3942,3942,0.15298667812634292
oil_price_wiki_views_desktop,3942,0,3942,3942,0.15298667812634292
oil_price_wiki_views_mobile,3942,0,3942,3942,0.15298667812634292
housing_market_wiki_views,3941,0,3941,3941,0.15320154705629563
housing_market_wiki_views_desktop,3941,0,3941,3941,0.15320154705629563
housing_market_wiki_views_mobile,3941,0,3941,3941,0.15320154705629563
inverted_yield_curve_wiki_views,3941,0,3941,3941,0.15320154705629563
inverted_yield_curve_wiki_views_desktop,3941,0,3941,3941,0.15320154705629563
inverted_yield_curve_wiki_views_mobile,3941,0,3941,3941,0.15320154705629563
new_zealand_stock_exchange_wiki_views,3798,0,3798,3798,0.1839278040395359
new_zealand_stock_exchange_wiki_views_desktop,3798,0,3798,3798,0.1839278040395359
new_zealand_stock_exchange_wiki_views_mobile,3798,0,3798,3798,0.1839278040395359
dividend,3275,115,1561,3275,0.9948331298138665
china%e2%80%93_united_states_trade_war_wiki_views,2632,0,2632,2632,0.4344649763644177
china%e2%80%93_united_states_trade_war_wiki_views_desktop,2632,0,2632,2632,0.4344649763644177
china%e2%80%93_united_states_trade_war_wiki_views_mobile,2632,0,2632,2632,0.4344649763644177
whole_milk_powder_wiki_views,780,0,780,780,0.8324022346368716
whole_milk_powder_wiki_views_desktop,780,0,780,780,0.8324022346368716
whole_milk_powder_wiki_views_mobile,780,0,780,780,0.8324022346368716
oecd_bcicp,775,0,775,775,0.8334765792866352
long_term_interest_rates,674,0,674,674,0.8551783412118608
short_term_interest_rates,628,0,628,628,0.8650623119896863
immediate_interest_rates_call_money_interbank_rate,494,0,494,494,0.8938547486033519
trailing_basic_average_shares,491,101,39,491,0.9992253638896514
trailing_diluted_average_shares,491,101,39,491,0.9992253638896514
trailing_diluted_eps,490,101,38,490,0.9992269415599373
trailing_basic_eps,488,101,38,488,0.9992300969005089
oecd_ccicp,454,0,454,454,0.9024495058014611
nzl_general_government_final_consumption_expenditure_millions_nzd,416,0,104,416,0.9776536312849162
nzl_general_government_gross_fixed_capital_formation_millions_nzd,416,0,104,416,0.9776536312849162
nzl_nfish_final_consumption_expenditure_millions_nzd,416,0,104,416,0.9776536312849162
annual_diluted_eps,392,101,39,392,0.9993815532479499
nz_labor_unemployment_age15to24_male,392,0,28,392,0.9939836699613236
annual_basic_average_shares,389,101,39,389,0.9993862862588073
annual_basic_eps,389,101,38,389,0.9993862862588073
annual_diluted_average_shares,387,101,38,387,0.999389441599379
annual_net_income,386,102,40,386,0.9993910192696649
annual_net_income_common_stockholders,386,102,40,386,0.9993910192696649
annual_net_income_continuous_operations,386,102,40,386,0.9993910192696649
annual_net_income_from_continuing_and_discontinued_operation,386,102,40,386,0.9993910192696649
annual_net_income_from_continuing_operation_net_minority_interest,386,102,40,386,0.9993910192696649
annual_net_income_including_noncontrolling_interests,386,102,40,386,0.9993910192696649
annual_normalized_income,386,102,40,386,0.9993910192696649
annual_pretax_income,386,102,40,386,0.9993910192696649
annual_tax_effect_of_unusual_items,386,102,40,386,0.9993910192696649
annual_tax_provision,386,102,40,386,0.9993910192696649
annual_tax_rate_for_calcs,386,102,40,386,0.9993910192696649
annual_net_interest_income,385,102,40,385,0.9993925969399508
nz_road_fatalities_monthly,383,0,383,383,0.9177051998281048
annual_total_revenue,369,98,40,369,0.9994178396645242
annual_selling_general_and_administration,368,100,40,368,0.99941941733481
annual_ebit,353,92,35,353,0.9994430823890976
annual_ebitda,353,92,35,353,0.9994430823890976
annual_interest_expense,353,97,40,353,0.9994430823890976
annual_normalized_ebitda,353,92,35,353,0.9994430823890976
annual_general_and_administrative_expense,352,97,40,352,0.9994446600593835
annual_interest_income,349,98,37,349,0.999449393070241
annual_reconciled_depreciation,341,92,35,341,0.9994620144325278
annual_depreciation_and_amortization_in_income_statement,337,91,35,337,0.9994683251136711
annual_depreciation_income_statement,336,90,35,336,0.999469902783957
annual_depreciation_amortization_depletion_income_statement,329,89,35,329,0.9994809464759579
annual_other_non_operating_income_expenses,324,90,35,324,0.999488834827387
annual_amortization,254,73,32,254,0.999599271747396
annual_salaries_and_wages,254,71,30,254,0.999599271747396
annual_amortization_of_intangibles_income_statement,252,72,32,252,0.9996024270879678
nz_labor_unemployment_not_worked_age15_plus_male,226,0,28,226,0.9939836699613236
new_registrations_goods_road_motor_vehicles,221,0,221,221,0.952513966480447
nz_labor_population_age15to24_female,210,0,30,210,0.9935539321014182
nz_labor_population_age15to24_male,210,0,30,210,0.9935539321014182
nz_labor_population_age15to24_total,210,0,30,210,0.9935539321014182
bop_current_account_balance_revenue_minus_expenditure_sa,208,0,104,208,0.9776536312849162
