feature,observation_dates,series_count,gap_count,median_gap_days,gap_p90_days,max_gap_days,irregularity_ratio,frequency_label
aquaculture_production_tonnes_per,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_phl,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_pol,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_prt,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_rou,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_svk,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_svn,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_swe,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_tha,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_tur,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_twn,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_usa,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_vnm,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
artificial_intelligence_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
artificial_intelligence_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
artificial_intelligence_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
auckland_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
auckland_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
auckland_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
bank_of_england_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
bank_of_england_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
bank_of_england_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
bank_run_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
bank_run_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
bank_run_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
bankruptcy_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
bankruptcy_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
bankruptcy_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
bear_market_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
bear_market_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
bear_market_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
beef_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
beef_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
beef_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
black_monday_1987_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
black_monday_1987_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
black_monday_1987_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
bond_market_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
bond_market_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
bond_market_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
bop_capital_account_balance_revenue_minus_expenditure_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_capital_account_expenditure_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_capital_account_revenue_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_current_account_balance_revenue_minus_expenditure_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_current_account_expenditure_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_current_account_revenue_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_direct_investment_assets_or_net_acquisition_of_assets_sa,103,1,102,92.0,92.0,92.0,0.008359021811184307,quarterly_or_slower
bop_direct_investment_liabilities_or_net_incurrence_of_liabilities_sa,103,1,102,92.0,92.0,92.0,0.008359021811184307,quarterly_or_slower
bop_direct_investment_net_assets_minus_liabilities_sa,103,1,102,92.0,92.0,92.0,0.008359021811184307,quarterly_or_slower
bop_financial_account_assets_or_net_acquisition_of_assets_sa,103,1,102,92.0,92.0,92.0,0.008359021811184307,quarterly_or_slower
bop_financial_account_liabilities_or_net_incurrence_of_liabilities_sa,103,1,102,92.0,92.0,92.0,0.008359021811184307,quarterly_or_slower
bop_financial_account_net_assets_minus_liabilities_sa,103,1,102,92.0,92.0,92.0,0.008359021811184307,quarterly_or_slower
bop_financial_derivatives_net_assets_minus_liabilities_sa,103,1,102,92.0,92.0,92.0,0.008359021811184307,quarterly_or_slower
bop_goods_acquired_under_merchanting_balance_revenue_minus_expenditure_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_goods_acquired_under_merchanting_revenue_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_goods_balance_revenue_minus_expenditure_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_goods_expenditure_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_goods_revenue_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_goods_sold_under_merchanting_balance_revenue_minus_expenditure_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_goods_sold_under_merchanting_revenue_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_net_errors_and_omissions_net_assets_minus_liabilities_sa,103,1,102,92.0,92.0,92.0,0.008359021811184307,quarterly_or_slower
bop_net_exports_of_goods_under_merchanting_balance_revenue_minus_expenditure_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_net_exports_of_goods_under_merchanting_revenue_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_other_investment_assets_or_net_acquisition_of_assets_sa,103,1,102,92.0,92.0,92.0,0.008359021811184307,quarterly_or_slower
bop_other_investment_liabilities_or_net_incurrence_of_liabilities_sa,103,1,102,92.0,92.0,92.0,0.008359021811184307,quarterly_or_slower
bop_other_investment_net_assets_minus_liabilities_sa,103,1,102,92.0,92.0,92.0,0.008359021811184307,quarterly_or_slower
bop_portfolio_investment_assets_or_net_acquisition_of_assets_sa,103,1,102,92.0,92.0,92.0,0.008359021811184307,quarterly_or_slower
bop_portfolio_investment_liabilities_or_net_incurrence_of_liabilities_sa,103,1,102,92.0,92.0,92.0,0.008359021811184307,quarterly_or_slower
bop_portfolio_investment_net_assets_minus_liabilities_sa,103,1,102,92.0,92.0,92.0,0.008359021811184307,quarterly_or_slower
bop_primary_income_balance_revenue_minus_expenditure_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_primary_income_expenditure_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_primary_income_revenue_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_reserve_assets_assets_or_net_acquisition_of_assets_sa,103,1,102,92.0,92.0,92.0,0.008359021811184307,quarterly_or_slower
bop_secondary_income_balance_revenue_minus_expenditure_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_secondary_income_expenditure_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_secondary_income_revenue_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_services_balance_revenue_minus_expenditure_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_services_expenditure_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
bop_services_revenue_sa,104,1,103,92.0,92.0,92.0,0.008325488781475737,quarterly_or_slower
brexit_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
brexit_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
brexit_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
china%e2%80%93_united_states_trade_war_wiki_views,2632,1,2631,1.0,1.0,1.0,0.0,daily
china%e2%80%93_united_states_trade_war_wiki_views_desktop,2632,1,2631,1.0,1.0,1.0,0.0,daily
china%e2%80%93_united_states_trade_war_wiki_views_mobile,2632,1,2631,1.0,1.0,1.0,0.0,daily
christchurch_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
christchurch_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
christchurch_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
close,16546,140,590136,1.0,3.0,29.0,0.9255267568153958,daily
cloud_computing_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
cloud_computing_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
cloud_computing_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
copper_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
copper_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
copper_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
credit_crunch_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
credit_crunch_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
credit_crunch_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
crude_oil_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
crude_oil_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
crude_oil_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
dairy_farming_in_new_zealand_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
dairy_farming_in_new_zealand_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
dairy_farming_in_new_zealand_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
dairy_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
dairy_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
dairy_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
default_finance_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
default_finance_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
default_finance_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
deflation_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
deflation_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
deflation_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
dividend,1561,115,3160,175.0,204.0,4139.0,0.8606341801722016,quarterly_or_slower
economic_bubble_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
economic_bubble_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
economic_bubble_wiki_views_mobile,3943,1,3942,1.0,1.0,1.0,0.0,daily
economy_of_new_zealand_wiki_views,3943,1,3942,1.0,1.0,1.0,0.0,daily
economy_of_new_zealand_wiki_views_desktop,3943,1,3942,1.0,1.0,1.0,0.0,daily
