ticker,feature,max_repeat_run,max_repeat_span_days
,financial_crisis_wiki_views_mobile,2,1.0
,fiscal_policy_wiki_views,2,1.0
,fiscal_policy_wiki_views_desktop,2,1.0
,fiscal_policy_wiki_views_mobile,3,2.0
,fonterra_wiki_views,2,1.0
,fonterra_wiki_views_desktop,2,1.0
,fonterra_wiki_views_mobile,3,2.0
,forestry_in_new_zealand_wiki_views,3,2.0
,forestry_in_new_zealand_wiki_views_desktop,4,3.0
,forestry_in_new_zealand_wiki_views_mobile,4,3.0
,free_trade_agreement_wiki_views,3,2.0
,free_trade_agreement_wiki_views_desktop,2,1.0
,free_trade_agreement_wiki_views_mobile,4,3.0
,gold_wiki_views,2,1.0
,gold_wiki_views_desktop,2,1.0
,gold_wiki_views_mobile,2,1.0
,government_debt_wiki_views,2,1.0
,government_debt_wiki_views_desktop,2,1.0
,government_debt_wiki_views_mobile,3,2.0
,great_depression_wiki_views,2,1.0
,great_depression_wiki_views_desktop,2,1.0
,great_depression_wiki_views_mobile,2,1.0
,house_price_index_wiki_views,3,2.0
,house_price_index_wiki_views_desktop,2,1.0
,house_price_index_wiki_views_mobile,4,3.0
,housing_market_wiki_views,5,4.0
,housing_market_wiki_views_desktop,5,4.0
,housing_market_wiki_views_mobile,6,5.0
,immediate_interest_rates_call_money_interbank_rate,9,243.0
,immigration_to_new_zealand_wiki_views,3,2.0
,immigration_to_new_zealand_wiki_views_desktop,3,2.0
,immigration_to_new_zealand_wiki_views_mobile,2,1.0
,inflation_wiki_views,2,1.0
,inflation_wiki_views_desktop,2,1.0
,inflation_wiki_views_mobile,2,1.0
,interest_rate_wiki_views,2,1.0
,interest_rate_wiki_views_desktop,2,1.0
,interest_rate_wiki_views_mobile,2,1.0
,inverted_yield_curve_wiki_views,3,2.0
,inverted_yield_curve_wiki_views_desktop,3,2.0
,inverted_yield_curve_wiki_views_mobile,6,5.0
,iron_ore_wiki_views,2,1.0
,iron_ore_wiki_views_desktop,2,1.0
,iron_ore_wiki_views_mobile,2,1.0
,kiwifruit_wiki_views,2,1.0
,kiwifruit_wiki_views_desktop,2,1.0
,kiwifruit_wiki_views_mobile,2,1.0
,lamb_and_mutton_wiki_views,2,1.0
,lamb_and_mutton_wiki_views_desktop,3,2.0
,lamb_and_mutton_wiki_views_mobile,2,1.0
,layoff_wiki_views,3,2.0
,layoff_wiki_views_desktop,2,1.0
,layoff_wiki_views_mobile,2,1.0
,lithium_wiki_views,2,1.0
,lithium_wiki_views_desktop,2,1.0
,lithium_wiki_views_mobile,2,1.0
,long_term_interest_rates,6,151.0
,machine_learning_wiki_views,2,1.0
,machine_learning_wiki_views_desktop,2,1.0
,machine_learning_wiki_views_mobile,2,1.0
,market_correction_wiki_views,3,2.0
,market_correction_wiki_views_desktop,3,2.0
